"発生日","取引区分","口座種別","取引種別","数量(口)","金額(円)","費用","分配金内訳(普通分配金)","分配金内訳(特別分配金)","当日基準価額","保有数量","評価金額","個別元本"
"2023/05/02","買付","特定/一般","金額","24571","50000","0","0","0","20349","24571","49999","20349"
"2023/06/02","買付","特定/一般","金額","23990","50000","0","0","0","20842","48561","101210","20592"
"2023/07/04","買付","特定/一般","金額","21831","50000","0","0","0","22903","70392","161218","21309"
"2023/08/02","買付","特定/一般","金額","21436","50000","0","0","0","23326","91828","214197","21779"
"2023/09/04","買付","特定/一般","金額","21240","50000","0","0","0","23541","113068","266173","22110"
"2023/10/03","買付","特定/一般","金額","21804","50000","0","0","0","22932","134872","309288","22243"
"2023/11/02","買付","特定/一般","金額","21943","50000","0","0","0","22787","156815","357334","22319"
"2023/12/04","買付","特定/一般","金額","20786","50000","0","0","0","24055","177601","427219","22522"
"2024/01/05","売却","特定/一般","金額","177601","432316","0","0","0","24342","0","0","22522"
"2024/01/05","買付","特定/一般","金額","20541","50000","0","0","0","24342","20541","50000","24341"
"2024/01/15","買付","NISA (つみたて)","金額","402172","1000000","0","0","0","24865","402172","1000000","24839"
"2024/01/17","売却","特定/一般","金額","20541","51681","0","0","0","25160","0","0","24839"
"2024/01/19","買付","NISA (つみたて)","金額","59128","150000","0","0","0","25369","461300","1170271","24907"
"2024/02/02","買付","NISA (つみたて)","金額","19425","50000","0","0","0","25741","480725","1237434","24941"
"2025/01/07","買付","NISA (つみたて)","金額","29218","100000","0","0","0","34226","509943","1745330","25472"
"2025/02/04","買付","NISA (つみたて)","金額","29648","100000","0","0","0","33730","539591","1820040","25926"
"2025/04/04","買付","NISA (つみたて)","金額","34962","100000","0","0","0","28603","574553","1643393","26089"
"2025/05/08","買付","NISA (つみたて)","金額","34042","100000","0","0","0","29376","608595","1787808","26273"
"2025/06/04","買付","NISA (つみたて)","金額","31992","100000","0","0","0","31258","640587","2002346","26522"
"2025/07/04","買付","NISA (つみたて)","金額","30254","100000","0","0","0","33054","670841","2217397","26816"
"2025/08/05","買付","NISA (つみたて)","金額","29519","100000","0","0","0","33877","700360","2372609","27114"
"2025/08/28","買付","NISA (つみたて)","金額","14360","50000","0","0","0","34820","714720","2488655","27269"
"2025/08/29","買付","NISA (つみたて)","金額","14363","50000","0","0","0","34812","729083","2538083","27417"
"2025/09/04","買付","NISA (つみたて)","金額","14371","50000","0","0","0","34794","743454","2586773","27956"
"2025/09/04","買付","NISA (つみたて)","金額","43111","150000","0","0","0","34794","786565","2736774","27956"
"2025/09/29","買付","NISA (つみたて)","金額","27655","100000","0","0","0","36160","814220","2944219","28235"
