年度,燃料費,車検,保険,税金,オイル交換,タイヤ交換,その他メンテ,メンテ合計,その他,合計,計画額,計画比
2016,0,0,150360,0,0,0,0,10000,0,160360,303431,-143071
2017,0,0,160560,39500,0,0,0,0,0,200060,398167,-198107
2018,0,0,106560,39500,0,0,0,0,0,146060,505977,-359917
2019,0,100000,126240,39500,0,0,0,0,0,265740,398167,-132427
2020,0,0,91920,39500,0,0,0,70000,0,201420,505977,-304557
2021,0,0,0,0,0,0,0,0,0,0,398167,-398167
2022,0,0,29520,39500,0,0,0,0,0,118520,505977,-387457
2023,0,100000,37080,39500,0,0,0,0,0,242580,398167,-155587
2024,0,0,36240,39500,0,0,0,35000,0,176740,505977,-329237
2025,122882,96841,43680,39500,0,105658,0,105658,14949,423510,565977,-142467
