年度,車検年,年間走行距離,燃費,燃料単価,燃料費,車検基本料,重量税,自賠責保険,車検その他,車検費用合計,任意保険,自動車税,月額駐車場代,駐車場代年額,オイル交換回数,オイル交換単価,タイヤ交換,タイヤ交換費用,その他メンテ,洗車消耗品,予備費,年間合計
2016,,10000.0,14.0,145.0,103571,0,0,0,0,0,150360,39500,0,0,2,0,,60000,0,10000,0,303431
2017,,10000.0,15.0,160.0,106667,50000,32800,20010,5000,0,60000,39500,10000,120000,2,5000,,60000,20000,12000,30000,398167
2018,○,10000.0,15.0,160.0,106667,50000,32800,20010,5000,107810,60000,39500,10000,120000,2,5000,,60000,20000,12000,30000,505977
2019,,10000.0,15.0,160.0,106667,50000,32800,20010,5000,0,60000,39500,10000,120000,2,5000,,60000,20000,12000,30000,398167
2020,○,10000.0,15.0,160.0,106667,50000,32800,20010,5000,107810,60000,39500,10000,120000,2,5000,,60000,20000,12000,30000,505977
2021,,10000.0,15.0,160.0,106667,50000,32800,20010,5000,0,60000,39500,10000,120000,2,5000,,60000,20000,12000,30000,398167
2022,○,10000.0,15.0,160.0,106667,50000,32800,20010,5000,107810,60000,39500,10000,120000,2,5000,,60000,20000,12000,30000,505977
2023,,10000.0,15.0,160.0,106667,50000,32800,20010,5000,0,60000,39500,10000,120000,2,5000,,60000,20000,12000,30000,398167
2024,○,10000.0,15.0,160.0,106667,50000,32800,20010,5000,107810,60000,39500,10000,120000,2,5000,,60000,20000,12000,30000,505977
2025,○,10000.0,15.0,160.0,106667,50000,32800,20010,5000,107810,60000,39500,10000,120000,2,5000,○,60000,20000,12000,30000,565977
